EmployeeID,NIK,orighiredate_key,department_name,job_title,BUSINESS_UNIT
1763,6402142105510002,11/30/1990,Produce,Produce Manager,STORES
1770,1705030506510014,12/8/1990,Dairy,Dairy Person,STORES
1783,3211074407510014,12/23/1990,Meats,Meat Cutter,STORES
1795,3506136307510016,1/2/1991,Dairy,Dairy Person,STORES
1799,7403300308510009,1/8/1991,Customer Service,Customer Service Manager,STORES
1801,3320055208510015,1/13/1991,Meats,Meats Manager,STORES
1808,9207096508510008,1/20/1991,Meats,Meat Cutter,STORES
1820,1503056509510016,2/5/1991,Meats,Meat Cutter,STORES
1830,3318091310510007,2/15/1991,Meats,Meat Cutter,STORES
1856,3306164712510006,3/16/1991,Meats,Meat Cutter,STORES
1865,6408132412510012,3/25/1991,Meats,Meat Cutter,STORES
1866,1508082512510014,3/25/1991,Meats,Meat Cutter,STORES
1871,7411084701520015,4/1/1991,Meats,Meat Cutter,STORES
1876,7409066601520011,4/11/1991,Meats,Meat Cutter,STORES
1881,3506147101520010,4/14/1991,Meats,Meat Cutter,STORES
1894,3215136802520016,4/28/1991,Meats,Meat Cutter,STORES
1927,3204444205520015,6/1/1991,Meats,Meat Cutter,STORES
1928,3517070505520012,6/2/1991,Meats,Meat Cutter,STORES
1948,6503190107520001,7/2/1991,Meats,Meat Cutter,STORES
1960,5306156607520011,7/16/1991,Meats,Meat Cutter,STORES
1961,7408112607520009,7/16/1991,Meats,Meat Cutter,STORES
1963,1708070208520004,7/19/1991,Bakery,Bakery Manager,STORES
1992,3212030809520009,8/8/1991,Produce,Produce Clerk,STORES
1993,6201051109520016,8/9/1991,Dairy,Dairy Person,STORES
1994,3206201009520017,8/9/1991,Produce,Produce Clerk,STORES
1996,3315071609520017,8/12/1991,Produce,Produce Clerk,STORES
2060,6110061402530013,10/31/1991,Produce,Produce Clerk,STORES
2077,3206165703530011,11/17/1991,Produce,Produce Clerk,STORES
2081,3507246103530003,11/19/1991,Meats,Meat Cutter,STORES
2091,1771075104530006,11/30/1991,Meats,Meat Cutter,STORES
2115,3402090706530017,12/30/1991,Produce,Produce Clerk,STORES
2145,9116123107530018,1/28/1992,Meats,Meat Cutter,STORES
2152,2171021308530009,2/3/1992,Produce,Produce Clerk,STORES
2164,5305091109530007,2/19/1992,Meats,Meat Cutter,STORES
2166,1277061809530014,2/22/1992,Meats,Meat Cutter,STORES
2172,6501056609530004,2/27/1992,Processed Foods,Processed Foods Manager,STORES
2183,1113065210530015,3/6/1992,Meats,Meat Cutter,STORES
2190,8272072210530004,3/11/1992,Meats,Meat Cutter,STORES
2202,7317075211530008,3/22/1992,Meats,Meat Cutter,STORES
2207,5301225411530013,3/24/1992,Bakery,Baker,STORES
2213,5102066511530019,3/29/1992,Bakery,Baker,STORES
2218,1409105012530016,4/6/1992,Bakery,Baker,STORES
2221,5316045312530001,4/8/1992,Bakery,Baker,STORES
2229,3507251001540003,4/23/1992,Bakery,Baker,STORES
2236,8272052901540010,5/3/1992,Meats,Meat Cutter,STORES
2237,1202033101540019,5/4/1992,Customer Service,Customer Service Manager,STORES
2238,9201440202540002,5/5/1992,Meats,Meat Cutter,STORES
2243,9108295102540017,5/9/1992,Meats,Meat Cutter,STORES
2247,9271024103540012,5/19/1992,Produce,Produce Manager,STORES
2248,7309070103540009,5/19/1992,Meats,Meat Cutter,STORES
2276,3304064105540016,6/20/1992,Bakery,Baker,STORES
2294,3174040406540004,7/8/1992,Bakery,Baker,STORES
2295,1209304806540011,7/10/1992,Meats,Meat Cutter,STORES
2299,5321081306540010,7/13/1992,Meats,Meat Cutter,STORES
2333,9102030109540005,8/24/1992,Meats,Meat Cutter,STORES
2335,6311060309540008,8/25/1992,Meats,Meat Cutter,STORES
2339,3325055609540014,9/1/1992,Meats,Meat Cutter,STORES
2344,9210186809540013,9/7/1992,Meats,Meat Cutter,STORES
2348,3502114703410006,9/12/1992,Dairy,Dairy Person,STORES
2363,6213061711540007,10/4/1992,Produce,Produce Clerk,STORES
2364,1407065711540008,10/4/1992,Meats,Meat Cutter,STORES
2371,3317140112540004,10/11/1992,Dairy,Dairy Person,STORES
2373,3204284612540016,10/14/1992,Dairy,Dairy Person,STORES
2377,7603015912540011,10/21/1992,Meats,Meat Cutter,STORES
2391,3273034101550003,10/28/1992,Meats,Meat Cutter,STORES
2395,7605056304410012,10/29/1992,Meats,Meat Cutter,STORES
2407,8103022301550017,11/8/1992,Meats,Meat Cutter,STORES
2430,1224062702550011,11/27/1992,Meats,Meat Cutter,STORES
2431,3101022702550019,11/27/1992,Meats,Meat Cutter,STORES
2438,1707071203550012,12/4/1992,Meats,Meat Cutter,STORES
2461,5105010305550019,12/31/1992,Meats,Meat Cutter,STORES
2467,1502156906410002,1/4/1993,Meats,Meat Cutter,STORES
2468,7371115205550016,1/5/1993,Meats,Meat Cutter,STORES
2470,3205091605550012,1/7/1993,Meats,Meat Cutter,STORES
2476,3273197005550015,1/14/1993,Meats,Meat Cutter,STORES
2485,1108181606550001,1/23/1993,Bakery,Baker,STORES
2486,9116046206550001,1/26/1993,Meats,Meat Cutter,STORES
2494,7317136907410001,2/3/1993,Produce,Produce Clerk,STORES
2507,7206120109550002,3/5/1993,Dairy,Dairy Person,STORES
2518,1807194310550018,3/22/1993,Meats,Meat Cutter,STORES
2524,3310194910550009,3/25/1993,Store Management,Store Manager,STORES
2526,1108015210550011,3/27/1993,Meats,Meat Cutter,STORES
2529,1116021810550005,3/30/1993,Dairy,Dairy Person,STORES
2556,1212065112550012,4/27/1993,Meats,Meat Cutter,STORES
2558,6104036210410006,4/29/1993,Meats,Meat Cutter,STORES
2565,1305176612550012,5/5/1993,Dairy,Dairy Person,STORES
2569,1203054301560015,5/9/1993,Dairy,Dairy Person,STORES
2575,6501104511410019,5/13/1993,Meats,Meat Cutter,STORES
2577,1103055001560008,5/13/1993,Meats,Meat Cutter,STORES
2578,1272064511410001,5/13/1993,Meats,Meat Cutter,STORES
2583,6171051801560014,5/17/1993,Processed Foods,Shelf Stocker,STORES
2585,7409041901560014,5/18/1993,Meats,Meat Cutter,STORES
2593,7603130402560005,5/26/1993,Meats,Meat Cutter,STORES
2605,8101176702560014,6/7/1993,Meats,Meat Cutter,STORES
2612,3602244603560011,6/11/1993,Meats,Meat Cutter,STORES
2622,5310110104560015,6/25/1993,Meats,Meat Cutter,STORES
2637,3328144205560002,7/11/1993,Meats,Meat Cutter,STORES
2640,6472040505560006,7/13/1993,Meats,Meats Manager,STORES
2644,1505055305560009,7/17/1993,Meats,Meat Cutter,STORES
2650,7603115401420003,7/22/1993,Dairy,Dairy Person,STORES
2660,6371015206560001,8/2/1993,Meats,Meat Cutter,STORES
2681,3515035702420009,8/25/1993,Dairy,Dairy Person,STORES
2697,5202046208560016,9/8/1993,Meats,Meat Cutter,STORES
2728,9109095910560018,10/9/1993,Meats,Meat Cutter,STORES
2748,3401056404420011,10/30/1993,Meats,Meat Cutter,STORES
2749,7311043011560002,10/31/1993,Meats,Meat Cutter,STORES
2751,1105070412560019,11/2/1993,Processed Foods,Shelf Stocker,STORES
2762,1207204205420003,11/7/1993,Dairy,Dairy Person,STORES
2768,6474026812560005,11/15/1993,Processed Foods,Shelf Stocker,STORES
2772,3401114101570002,11/17/1993,Meats,Meat Cutter,STORES
2794,6302217001570014,12/2/1993,Meats,Meat Cutter,STORES
2798,1310030702570013,12/7/1993,Meats,Meat Cutter,STORES
2804,3506241602570017,12/11/1993,Meats,Meat Cutter,STORES
2807,2101040103570017,12/19/1993,Processed Foods,Shelf Stocker,STORES
2812,3328071103570019,12/24/1993,Meats,Meat Cutter,STORES
2831,3671084904570009,1/8/1994,Meats,Meat Cutter,STORES
2842,3326132804570012,1/18/1994,Customer Service,Cashier,STORES
2860,6210101106570017,2/11/1994,Meats,Meat Cutter,STORES
2875,3208032706570013,2/19/1994,Meats,Meat Cutter,STORES
2907,1602115509420001,3/23/1994,Meats,Meat Cutter,STORES
2910,1572036009420015,3/28/1994,Meats,Meat Cutter,STORES
2923,7103176709570007,4/9/1994,Meats,Meat Cutter,STORES
2932,3324085210420016,4/19/1994,Meats,Meat Cutter,STORES
2933,3401104311570005,4/28/1994,Customer Service,Cashier,STORES
2934,3529020311570010,4/28/1994,Produce,Produce Clerk,STORES
2936,9125144511570010,4/29/1994,Produce,Produce Clerk,STORES
2938,1807176810420018,5/5/1994,Produce,Produce Clerk,STORES
2942,1608177010420017,5/7/1994,Dairy,Dairy Person,STORES
2945,3519092111570013,5/8/1994,Customer Service,Cashier,STORES
2950,3604176511570010,5/10/1994,Meats,Meat Cutter,STORES
2953,1672054711420006,5/15/1994,Meats,Meat Cutter,STORES
2957,1111015812570005,5/22/1994,Meats,Meat Cutter,STORES
2968,5208034601580011,6/1/1994,Customer Service,Cashier,STORES
2985,3210176601580007,6/12/1994,Meats,Meat Cutter,STORES
2991,7306035312420003,6/20/1994,Dairy,Dairy Person,STORES
2998,9210096202580008,6/26/1994,Bakery,Bakery Manager,STORES
3000,7309136112420017,6/28/1994,Meats,Meat Cutter,STORES
3008,8103037112420013,7/8/1994,Dairy,Dairy Person,STORES
3018,3209404801430016,7/16/1994,Meats,Meat Cutter,STORES
3024,7322105801430013,7/26/1994,Meats,Meat Cutter,STORES
3027,1507112704580019,7/30/1994,Produce,Produce Clerk,STORES
3036,1871085105580017,8/6/1994,Meats,Meat Cutter,STORES
3042,7203124202430014,8/10/1994,Meats,Meat Cutter,STORES
3043,7322052105580018,8/11/1994,Produce,Produce Clerk,STORES
3059,3323192506580017,8/30/1994,Meats,Meat Cutter,STORES
3063,1813080607580011,9/5/1994,Meats,Meat Cutter,STORES
3078,9204117007580005,9/17/1994,Meats,Meat Cutter,STORES
3079,1201166907580015,9/17/1994,Meats,Meat Cutter,STORES
3080,1305047007580005,9/17/1994,Meats,Meat Cutter,STORES
3089,5307100808580015,9/22/1994,Customer Service,Cashier,STORES
3094,1803161408580013,9/25/1994,Meats,Meat Cutter,STORES
3101,1273013008580007,10/4/1994,Customer Service,Cashier,STORES
3107,6107080909580014,10/9/1994,Produce,Produce Clerk,STORES
3117,1803126009580006,10/15/1994,Meats,Meat Cutter,STORES
3124,1803155310580011,10/27/1994,Produce,Produce Clerk,STORES
3132,3304022310580003,11/1/1994,Meats,Meat Cutter,STORES
3141,3212230411580017,11/7/1994,Meats,Meat Cutter,STORES
3142,3509054405430015,11/9/1994,Meats,Meat Cutter,STORES
3165,9123101412580004,11/29/1994,Produce,Produce Clerk,STORES
3167,8203225712580016,11/30/1994,Meats,Meat Cutter,STORES
3175,7371024106430012,12/7/1994,Meats,Meat Cutter,STORES
3176,7208054301590015,12/9/1994,Meats,Meat Cutter,STORES
3180,1211081301590018,12/14/1994,Dairy,Dairy Person,STORES
3203,8205081602590012,1/1/1995,Meats,Meat Cutter,STORES
3204,3207141702590005,1/2/1995,Meats,Meat Cutter,STORES
3215,7604085103590007,1/14/1995,Meats,Meat Cutter,STORES
3220,1218135507430010,1/20/1995,Meats,Meat Cutter,STORES
3228,3321100804590019,1/28/1995,Meats,Meat Cutter,STORES
3233,3325046807430014,2/2/1995,Produce,Produce Clerk,STORES
3236,9205166907430010,2/3/1995,Meats,Meat Cutter,STORES
3250,5306152205590015,2/21/1995,Meats,Meat Cutter,STORES
3254,1503016405590015,2/22/1995,Meats,Meat Cutter,STORES
3255,5321056405590014,2/22/1995,Meats,Meat Cutter,STORES
3259,3324066905590012,2/24/1995,Meats,Meat Cutter,STORES
3268,3314026708430003,3/4/1995,Dairy,Dairy Person,STORES
3269,1303095706590001,3/6/1995,Meats,Meat Cutter,STORES
3272,3525164109430016,3/9/1995,Dairy,Dairy Person,STORES
3285,9109064907590003,3/18/1995,Meats,Meat Cutter,STORES
3289,7604076307590008,3/25/1995,Meats,Meat Cutter,STORES
3291,3303112507590017,3/26/1995,Produce,Produce Clerk,STORES
3292,1304046607590004,3/27/1995,Meats,Meat Cutter,STORES
3293,9116042607590016,3/27/1995,Produce,Produce Clerk,STORES
3297,3328131008590005,4/4/1995,Bakery,Baker,STORES
3300,3207021408590004,4/6/1995,Produce,Produce Clerk,STORES
3311,3529186708590013,4/13/1995,Meats,Meat Cutter,STORES
3332,1214103009590015,5/1/1995,Meats,Meat Cutter,STORES
3340,1208035510590006,5/9/1995,Meats,Meat Cutter,STORES
3344,1115086610590008,5/14/1995,Meats,Meat Cutter,STORES
3350,3578145111430008,5/19/1995,Dairy,Dairy Person,STORES
3352,9127064811590014,5/21/1995,Produce,Produce Clerk,STORES
3353,9114310911590009,5/22/1995,Produce,Produce Clerk,STORES
3370,6110021712590003,6/11/1995,Meats,Meat Cutter,STORES
3378,3322192412590005,6/15/1995,Dairy,Dairy Person,STORES
3390,9206235301600012,6/25/1995,Meats,Meat Cutter,STORES
3401,9171037112430012,7/8/1995,Meats,Meat Cutter,STORES
3402,1305070802600007,7/9/1995,Meats,Meat Cutter,STORES
3403,3273305202600018,7/11/1995,Meats,Meat Cutter,STORES
3410,7501045501440002,7/23/1995,Meats,Meat Cutter,STORES
3425,5310030904600004,8/10/1995,Meats,Meat Cutter,STORES
3427,8108115204600011,8/11/1995,Produce,Produce Clerk,STORES
3429,7304064302440007,8/11/1995,Meats,Meat Cutter,STORES
3430,5104045404600001,8/12/1995,Meats,Meat Cutter,STORES
3435,8204304602440019,8/14/1995,Meats,Meat Cutter,STORES
3436,9103076204600001,8/16/1995,Meats,Meat Cutter,STORES
3441,1201135102440019,8/19/1995,Dairy,Dairy Person,STORES
3443,1202042804600017,8/20/1995,Produce,Produce Clerk,STORES
3453,3304205005600009,8/26/1995,Meats,Meat Cutter,STORES
3459,7502021605600001,8/29/1995,Produce,Produce Clerk,STORES
3462,9126106205600004,9/1/1995,Produce,Produce Clerk,STORES
3463,3212042405600014,9/2/1995,Bakery,Baker,STORES
3464,3507056502440015,9/2/1995,Meats,Meat Cutter,STORES
3465,7104186502440016,9/2/1995,Produce,Produce Clerk,STORES
3466,1806026405600014,9/2/1995,Produce,Produce Clerk,STORES
3470,3507234503440008,9/10/1995,Produce,Produce Clerk,STORES
3471,7207054906600013,9/11/1995,Produce,Produce Clerk,STORES
3496,5301185108600002,10/14/1995,Meats,Meat Cutter,STORES
3500,5308141508600014,10/16/1995,Produce,Produce Clerk,STORES
3509,7311066104440017,10/27/1995,Meats,Meat Cutter,STORES
3515,8109045509600003,11/2/1995,Meats,Meat Cutter,STORES
3520,1905044805440005,11/13/1995,Dairy,Dairy Person,STORES
3532,3307132710600016,11/24/1995,Produce,Produce Clerk,STORES
3537,1106187110600009,11/26/1995,Produce,Produce Clerk,STORES
3541,5204146405440014,11/29/1995,Meats,Meat Cutter,STORES
3552,3310032111600003,12/7/1995,Meats,Meat Cutter,STORES
3565,7171061512600015,12/20/1995,Meats,Meat Cutter,STORES
3566,7604131812600013,12/21/1995,Meats,Meat Cutter,STORES
3571,1605202412600005,12/24/1995,Produce,Produce Clerk,STORES
3580,6503064301610001,12/30/1995,Produce,Produce Clerk,STORES
3582,3316055801610002,1/7/1996,Produce,Produce Clerk,STORES
3585,5303124607440007,1/11/1996,Produce,Produce Clerk,STORES
3594,1309081302610005,1/20/1996,Meats,Meat Cutter,STORES
3597,1208326002610007,1/24/1996,Produce,Produce Clerk,STORES
3599,1215015907440013,1/24/1996,Produce,Produce Clerk,STORES
3600,1220022202610012,1/25/1996,Meats,Meat Cutter,STORES
3620,1221075008440016,2/15/1996,Dairy,Dairy Person,STORES
3627,5309205104610002,2/20/1996,Produce,Produce Clerk,STORES
3630,8101125904610002,2/24/1996,Produce,Produce Clerk,STORES
3636,5302054205610014,3/2/1996,Meats,Meat Cutter,STORES
3643,6112085905610016,3/11/1996,Bakery,Baker,STORES
3664,1602187009440006,4/6/1996,Dairy,Dairy Person,STORES
3667,1371115807610005,4/12/1996,Produce,Produce Clerk,STORES
3671,7211066807610008,4/17/1996,Processed Foods,Shelf Stocker,STORES
3678,8107010408610006,4/21/1996,Produce,Produce Clerk,STORES
3683,6112036110440013,4/27/1996,Meats,Meat Cutter,STORES
3686,6104086710440007,5/3/1996,Produce,Produce Clerk,STORES
3695,3318215609610010,5/13/1996,Meats,Meat Cutter,STORES
3708,3324201510610016,5/29/1996,Meats,Meat Cutter,STORES
3710,3502091810610017,5/30/1996,Produce,Produce Clerk,STORES
3711,9103146010610007,5/31/1996,Processed Foods,Shelf Stocker,STORES
3713,3318172610610009,6/3/1996,Meats,Meat Cutter,STORES
3722,3315010911610010,6/11/1996,Produce,Produce Clerk,STORES
3726,8204055511610010,6/14/1996,Meats,Meat Cutter,STORES
3731,1408011911610016,6/16/1996,Meats,Meat Cutter,STORES
3741,7314026112440004,6/27/1996,Meats,Meat Cutter,STORES
3748,3522034101620016,7/9/1996,Processed Foods,Shelf Stocker,STORES
3750,8109044201620018,7/9/1996,Produce,Produce Clerk,STORES
3754,7301065101620017,7/14/1996,Produce,Produce Clerk,STORES
3755,1107171001620012,7/14/1996,Produce,Produce Clerk,STORES
3757,3273275901620016,7/18/1996,Meats,Meat Cutter,STORES
3771,3316126201450009,7/29/1996,Produce,Produce Clerk,STORES
3776,1409042402620019,8/6/1996,Produce,Produce Clerk,STORES
3782,1407084403620003,8/11/1996,Produce,Produce Clerk,STORES
3793,7504106803620001,8/23/1996,Produce,Produce Clerk,STORES
3804,6309056802450008,9/4/1996,Meats,Meat Cutter,STORES
3815,6105065003450019,9/15/1996,Meats,Meat Cutter,STORES
3830,9211026303450009,9/28/1996,Produce,Produce Clerk,STORES
3831,1202120306620017,9/28/1996,Produce,Produce Clerk,STORES
3851,7102175904450009,10/25/1996,Meats,Meat Cutter,STORES
3854,7315116807620019,10/27/1996,Produce,Produce Clerk,STORES
3870,6107133008620001,11/13/1996,Produce,Produce Clerk,STORES
3878,9116130909620012,11/18/1996,Processed Foods,Shelf Stocker,STORES
3882,7317022109620015,11/25/1996,Processed Foods,Shelf Stocker,STORES
3888,3402082909620010,11/29/1996,Produce,Produce Clerk,STORES
3893,5108016805450009,12/3/1996,Produce,Produce Clerk,STORES
3913,7317085911620014,12/26/1996,Dairy,Dairy Person,STORES
3918,9105072711620018,12/30/1996,Produce,Produce Clerk,STORES
3928,6403135112620004,1/7/1997,Produce,Produce Clerk,STORES
3929,1901055412620016,1/8/1997,Produce,Produce Clerk,STORES
3942,3514025907450016,1/24/1997,Meats,Meat Cutter,STORES
3944,3212131701630010,1/26/1997,Produce,Produce Clerk,STORES
3957,7401075702630014,2/11/1997,Bakery,Baker,STORES
3970,5303070703630018,2/21/1997,Processed Foods,Processed Foods Manager,STORES
3971,6304034903630014,2/22/1997,Bakery,Baker,STORES
3979,1273046803630005,3/4/1997,Produce,Produce Clerk,STORES
3984,1609084704630011,3/9/1997,Produce,Produce Clerk,STORES
4003,3326101005630009,3/27/1997,Bakery,Baker,STORES
4014,5321064110450001,4/8/1997,Produce,Produce Clerk,STORES
4015,1306090506630016,4/9/1997,Produce,Produce Clerk,STORES
4020,3309081806630002,4/16/1997,Processed Foods,Shelf Stocker,STORES
4029,1501150207630001,4/24/1997,Bakery,Baker,STORES
4033,6110020807630018,4/27/1997,Processed Foods,Shelf Stocker,STORES
4037,3317121607630010,5/1/1997,Bakery,Baker,STORES
4040,5303126807630014,5/7/1997,Bakery,Baker,STORES
4050,9115091908630015,5/19/1997,Bakery,Baker,STORES
4065,1802065809630002,6/4/1997,Produce,Produce Clerk,STORES
4071,7103087009630011,6/10/1997,Bakery,Baker,STORES
4082,9113515012450007,6/17/1997,Produce,Produce Clerk,STORES
4090,1613074611630001,6/30/1997,Processed Foods,Shelf Stocker,STORES
4097,6304112111630001,7/8/1997,Bakery,Baker,STORES
4110,3209381601460013,7/24/1997,Produce,Produce Clerk,STORES
4121,5311201601640010,8/6/1997,Produce,Produce Clerk,STORES
4125,1109107101460010,8/8/1997,Produce,Produce Clerk,STORES
4126,1610106101640018,8/9/1997,Produce,Produce Clerk,STORES
4138,8106025202460005,8/20/1997,Produce,Produce Clerk,STORES
4145,3578281802640009,8/24/1997,Bakery,Baker,STORES
4150,3601242502460013,9/2/1997,Produce,Produce Clerk,STORES
4158,1219030303460017,9/8/1997,Produce,Produce Clerk,STORES
4159,1409084403460009,9/9/1997,Produce,Produce Clerk,STORES
4162,5371031203460002,9/17/1997,Produce,Produce Clerk,STORES
4167,1611102004640009,9/25/1997,Bakery,Baker,STORES
4169,7308192204640004,9/26/1997,Bakery,Baker,STORES
4174,3510017004640012,9/30/1997,Produce,Produce Clerk,STORES
4181,3316075005640006,10/5/1997,Produce,Produce Clerk,STORES
4182,6303103003460008,10/5/1997,Produce,Produce Clerk,STORES
4189,3326125605640005,10/9/1997,Bakery,Baker,STORES
4217,1213211407640016,11/9/1997,Produce,Produce Clerk,STORES
4222,1213156707640006,11/16/1997,Bakery,Baker,STORES
4224,3305083007640006,11/17/1997,Produce,Produce Clerk,STORES
4226,1204290408640014,11/20/1997,Bakery,Baker,STORES
4227,9104014608640016,11/21/1997,Bakery,Baker,STORES
4234,1801136505460006,11/30/1997,Meats,Meat Cutter,STORES
4252,5307075306460008,12/19/1997,Dairy,Dairy Person,STORES
4255,7106010910640010,12/25/1997,Produce,Produce Clerk,STORES
4257,1102015210640006,12/26/1997,Bakery,Baker,STORES
4270,3522032510640016,1/2/1998,Bakery,Baker,STORES
4271,2101124311640009,1/7/1998,Customer Service,Cashier,STORES
4297,3202121112640013,1/27/1998,Bakery,Baker,STORES
4298,3525172307460008,1/28/1998,Produce,Produce Clerk,STORES
4299,2104135212640012,1/28/1998,Produce,Produce Clerk,STORES
4304,9207136012640013,2/1/1998,Produce,Produce Clerk,STORES
4316,3326136001650009,2/17/1998,Bakery,Baker,STORES
4318,6304101908460003,2/24/1998,Produce,Produce Clerk,STORES
4322,1203291102650017,3/1/1998,Produce,Produce Clerk,STORES
4323,1374012608460003,3/3/1998,Produce,Produce Clerk,STORES
4339,5103041009460005,3/18/1998,Bakery,Baker,STORES
4340,1811025109460019,3/19/1998,Produce,Produce Clerk,STORES
4352,6472022604650012,4/9/1998,Produce,Produce Clerk,STORES
4363,3273305305650011,4/18/1998,Customer Service,Cashier,STORES
4365,7303075805650001,4/21/1998,Bakery,Baker,STORES
4369,1207096805650007,4/26/1998,Produce,Produce Clerk,STORES
4374,9123322310460012,4/30/1998,Produce,Produce Clerk,STORES
4393,3528051007650007,5/19/1998,Dairy,Dairy Person,STORES
4398,1371086407650009,5/26/1998,Customer Service,Cashier,STORES
4405,3601246707650011,5/28/1998,Dairy,Dairy Person,STORES
4412,6303062611460009,6/3/1998,Meats,Meat Cutter,STORES
4416,6105090908650016,6/4/1998,Customer Service,Cashier,STORES
4418,6202095508650012,6/7/1998,Dairy,Dairy Person,STORES
4439,7501165812460018,6/25/1998,Produce,Produce Clerk,STORES
4444,3201164210650001,7/2/1998,Customer Service,Cashier,STORES
4452,7172041010650007,7/7/1998,Customer Service,Cashier,STORES
4453,3578065110650006,7/7/1998,Produce,Produce Clerk,STORES
4454,3322031110650009,7/7/1998,Dairy,Dairy Person,STORES
4460,7202184411650018,7/20/1998,Produce,Produce Clerk,STORES
4468,1208231411650001,7/25/1998,Bakery,Baker,STORES
4470,1812046211650011,7/29/1998,Produce,Produce Clerk,STORES
4474,1309082601470005,8/3/1998,Produce,Produce Clerk,STORES
4478,3524162901470006,8/6/1998,Produce,Produce Clerk,STORES
4490,9106212812650003,8/17/1998,Produce,Produce Clerk,STORES
4499,7405166601660006,9/2/1998,Bakery,Baker,STORES
4510,7318274803470016,9/13/1998,Produce,Produce Clerk,STORES
4514,3175030903470011,9/14/1998,Meats,Meat Cutter,STORES
4520,3578104203660018,9/20/1998,Bakery,Baker,STORES
4521,1702084803660003,9/23/1998,Dairy,Dairy Person,STORES
4534,5101034704470017,10/13/1998,Meats,Meat Cutter,STORES
4551,7402025805660003,10/31/1998,Bakery,Baker,STORES
4552,2103082305660002,11/2/1998,Meats,Meat Cutter,STORES
4554,3203306405660001,11/3/1998,Bakery,Baker,STORES
4558,9102430205470004,11/7/1998,Produce,Produce Clerk,STORES
4561,5205050906660014,11/11/1998,Produce,Produce Clerk,STORES
4567,9205115305470006,11/18/1998,Produce,Produce Clerk,STORES
4574,3316051705470010,11/22/1998,Produce,Produce Clerk,STORES
4580,3505062205470006,11/27/1998,Produce,Produce Clerk,STORES
4594,1703090708660014,12/13/1998,Bakery,Baker,STORES
4596,6402105008660002,12/14/1998,Bakery,Baker,STORES
4598,7318194906470018,12/15/1998,Bakery,Baker,STORES
4604,3404141306470003,12/19/1998,Produce,Produce Clerk,STORES
4607,5303036308660010,12/21/1998,Bakery,Baker,STORES
4620,3523192509660015,1/7/1999,Bakery,Baker,STORES
